marca,dominio,disponible,metodo
BABARIA,babaria.es,True,store_api
NIVEA,nivea.es,False,
ASEVI,asevicompany.com,False,
LLONGUERAS,llongueras.com,False,
SORA,cosmeticossora.com,True,store_api
RESSOL,hiladosbiete.com,False,
AIRWICK,airwick.es,False,
SANEX,sanex.es,False,
CIF,unilever.es,False,
DOVE,unilever.es,False,
ARIEL,es.pg.com,False,
FAIRY,es.pg.com,False,
PANTENE,es.pg.com,False,
DON LIMPIO,es.pg.com,False,
VILEDA,vileda.es,False,
SANYTOL,sanytol.es,False,
BREF,brefwc.es,False,
THOMIL,thomil.com,False,
VIJUSA,vijusa.com,True,wp_search
